Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2025-10-21,Baixa,Alta,1.32,-0.62,0
2025-10-22,Baixa,Alta,1.18,-0.56,0
2025-10-23,Baixa,Alta,1.15,0.68,1
2025-10-24,Alta,Alta,1.18,0.53,2
2025-10-27,Alta,Alta,1.24,0.80,3
2025-10-28,Alta,Alta,1.31,-0.13,0
2025-10-29,Alta,Alta,1.40,-0.55,0
2025-10-30,Baixa,Alta,1.43,-0.68,0
2025-10-31,Baixa,Alta,1.43,-0.24,0
2025-11-03,Baixa,Alta,1.36,-0.26,0
2025-11-04,Baixa,Alta,1.26,-0.27,0
2025-11-05,Baixa,Alta,1.19,0.56,1
2025-11-06,Baixa,Alta,1.09,-0.95,0
2025-11-07,Baixa,Baixa,0.95,0.29,1
2025-11-10,Baixa,Alta,0.85,-0.63,0
2025-11-11,Baixa,Baixa,0.72,-0.85,0
2025-11-12,Baixa,Baixa,0.62,-0.72,0
2025-11-13,Baixa,Baixa,0.46,-0.88,0
2025-11-14,Baixa,Baixa,0.29,0.53,1
2025-11-17,Baixa,Baixa,0.06,-0.62,0
2025-11-18,Baixa,Baixa,-0.10,0.32,1
2025-11-19,Baixa,Baixa,-0.32,-0.43,0
2025-11-20,Baixa,Baixa,-0.49,-0.85,0
2025-11-21,Baixa,Baixa,-0.65,-0.04,0
2025-11-24,Alta,Baixa,-0.71,0.90,1
2025-11-25,Alta,Baixa,-0.71,0.34,2
2025-11-26,Alta,Baixa,-0.68,0.23,3
2025-11-28,Alta,Baixa,-0.62,0.00,0
2025-12-01,Alta,Baixa,-0.49,0.55,1
2025-12-02,Alta,Baixa,-0.52,-0.32,0
2025-12-03,Alta,Baixa,-0.49,0.08,1
2025-12-04,Alta,Baixa,-0.49,0.00,0
2025-12-05,Alta,Baixa,-0.46,-0.33,0
2025-12-08,Alta,Baixa,-0.46,-0.26,0
2025-12-09,Alta,Baixa,-0.39,0.71,1
2025-12-10,Alta,Baixa,-0.43,-0.14,0
2025-12-11,Alta,Baixa,-0.43,0.50,1
2025-12-12,Baixa,Baixa,-0.53,-0.61,0
2025-12-15,Baixa,Baixa,-0.69,-0.89,0
2025-12-16,Baixa,Baixa,-0.86,0.51,1
2025-12-17,Baixa,Baixa,-1.02,-0.86,0
2025-12-18,Baixa,Baixa,-1.22,-0.87,0
2025-12-19,Alta,Baixa,-1.29,0.92,1
2025-12-22,Alta,Baixa,-1.23,0.15,2
2025-12-23,Alta,Baixa,-1.20,-0.04,0
2025-12-24,Alta,Baixa,-1.13,-0.19,0
2025-12-26,Alta,Baixa,-1.10,-0.46,0
2025-12-29,Baixa,Baixa,-1.04,0.00,0
2025-12-30,Baixa,Baixa,-1.07,-0.58,0
2025-12-31,Baixa,Baixa,-1.08,-0.53,0
2026-01-02,Alta,Baixa,-1.08,0.64,1
2026-01-05,Alta,Alta,-0.88,0.93,2
2026-01-06,Alta,Alta,-0.85,-0.16,0
2026-01-07,Alta,Alta,-0.85,-0.59,0
2026-01-08,Alta,Alta,-0.85,0.45,1
2026-01-09,Alta,Alta,-0.89,-0.10,0
2026-01-12,Alta,Alta,-0.99,0.86,1
2026-01-13,Alta,Alta,-0.99,0.03,2
2026-01-14,Alta,Alta,-0.92,-0.15,0
2026-01-15,Baixa,Alta,-0.89,-1.00,0
2026-01-16,Alta,Alta,-0.76,0.77,1
2026-01-20,Baixa,Alta,-0.76,-0.33,0
2026-01-21,Baixa,Alta,-0.69,0.04,1
2026-01-22,Alta,Alta,-0.62,-0.53,0
2026-01-23,Alta,Alta,-0.48,0.43,1
2026-01-26,Baixa,Alta,-0.42,-0.83,0
2026-01-27,Alta,Alta,-0.21,0.52,1
2026-01-28,Alta,Alta,0.00,-0.53,0
2026-01-29,Baixa,Alta,0.17,-0.44,0
2026-01-30,Baixa,Alta,0.38,-0.76,0
2026-02-02,Baixa,Alta,0.52,0.47,1
2026-02-03,Baixa,Baixa,0.59,-0.41,0
2026-02-04,Baixa,Baixa,0.52,-0.67,0
2026-02-05,Baixa,Baixa,0.35,-0.57,0
2026-02-06,Baixa,Baixa,0.21,1.00,1
2026-02-09,Alta,Baixa,0.17,0.71,2
2026-02-10,Alta,Baixa,0.07,-0.27,0
2026-02-11,Alta,Baixa,-0.07,-0.60,0
2026-02-12,Baixa,Baixa,-0.10,-0.83,0
2026-02-13,Alta,Baixa,-0.14,0.29,1
2026-02-17,Baixa,Baixa,-0.28,0.04,2
2026-02-18,Baixa,Baixa,-0.38,0.14,3
2026-02-19,Alta,Baixa,-0.38,0.68,4
2026-02-20,Alta,Baixa,-0.38,0.05,5
2026-02-23,Baixa,Baixa,-0.48,-0.27,0
2026-02-24,Alta,Baixa,-0.49,0.76,1
2026-02-25,Alta,Baixa,-0.45,0.53,2
2026-02-26,Alta,Baixa,-0.45,-0.36,0
2026-02-27,Baixa,Baixa,-0.35,-0.26,0
2026-03-02,Alta,Baixa,-0.21,0.75,1
2026-03-03,Baixa,Baixa,-0.14,-0.22,0
2026-03-04,Alta,Baixa,-0.03,0.82,1
2026-03-05,Alta,Baixa,0.00,-0.10,0
2026-03-06,Baixa,Baixa,-0.14,-0.79,0
2026-03-09,Baixa,Baixa,-0.21,0.67,1
2026-03-10,Baixa,Baixa,-0.28,-0.51,0
2026-03-11,Alta,Baixa,-0.38,0.32,1
2026-03-12,Baixa,Baixa,-0.42,-0.40,0
2026-03-13,Baixa,Baixa,-0.31,-0.27,0
2026-03-16,Alta,Baixa,-0.24,0.53,1
2026-03-17,Alta,Baixa,-0.21,0.70,2
2026-03-18,Alta,Baixa,-0.24,-0.98,0
2026-03-19,Baixa,Baixa,-0.28,0.51,1
2026-03-20,Baixa,Baixa,-0.42,-0.79,0
2026-03-23,Alta,Baixa,-0.49,0.52,1
2026-03-24,Baixa,Baixa,-0.60,-0.55,0
2026-03-25,Alta,Baixa,-0.60,-0.08,0
2026-03-26,Baixa,Baixa,-0.67,-0.90,0
2026-03-27,Baixa,Baixa,-0.74,-0.89,0
2026-03-30,Baixa,Baixa,-0.95,-0.72,0
2026-03-31,Baixa,Baixa,-1.06,0.79,1
2026-04-01,Baixa,Baixa,-1.13,-0.10,0
2026-04-02,Alta,Baixa,-1.17,0.94,1
2026-04-06,Alta,Baixa,-1.06,0.45,2
2026-04-07,Alta,Baixa,-0.96,0.52,3
2026-04-08,Alta,Alta,-0.82,-0.42,0
2026-04-09,Alta,Alta,-0.75,0.29,1
2026-04-10,Alta,Alta,-0.64,0.43,2
2026-04-13,Alta,Alta,-0.50,0.90,3
2026-04-14,Alta,Alta,-0.25,0.79,4
2026-04-15,Alta,Alta,-0.07,0.19,5
2026-04-16,Alta,Alta,0.18,-0.07,0
2026-04-17,Alta,Alta,0.54,0.26,1
2026-04-20,Alta,Alta,0.94,0.24,2
2026-04-21,Alta,Alta,1.08,-0.91,0
2026-04-22,Alta,Alta,1.19,0.61,1
2026-04-23,Alta,Alta,1.26,-0.45,0
2026-04-24,Alta,Alta,1.25,-0.09,0
