Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2021-06-03,Alta,Alta,-0.36,-0.55,0
2021-06-04,Alta,Alta,0.05,0.32,1
2021-06-07,Alta,Alta,0.32,0.47,2
2021-06-08,Alta,Alta,0.59,-0.36,0
2021-06-09,Alta,Alta,0.77,-0.49,0
2021-06-10,Baixa,Alta,0.95,0.15,1
2021-06-11,Alta,Alta,0.85,0.81,2
2021-06-14,Alta,Alta,0.85,0.40,3
2021-06-15,Baixa,Alta,0.76,-0.53,0
2021-06-16,Alta,Alta,0.72,0.66,1
2021-06-17,Alta,Alta,0.71,0.85,2
2021-06-18,Alta,Alta,0.80,-0.24,0
2021-06-21,Alta,Alta,0.76,0.31,1
2021-06-22,Alta,Alta,0.85,0.02,2
2021-06-23,Alta,Alta,0.80,0.80,3
2021-06-24,Alta,Alta,0.84,0.07,4
2021-06-25,Alta,Alta,0.97,0.26,5
2021-06-28,Alta,Alta,1.28,0.62,6
2021-06-29,Alta,Alta,1.50,-0.75,0
2021-06-30,Baixa,Alta,1.81,-0.17,0
2021-07-01,Baixa,Alta,1.71,-0.90,0
2021-07-02,Baixa,Alta,1.58,-0.55,0
2021-07-06,Baixa,Alta,1.22,0.11,1
2021-07-07,Baixa,Baixa,0.74,-0.87,0
2021-07-08,Baixa,Baixa,0.26,0.68,1
2021-07-09,Baixa,Alta,0.04,0.52,2
2021-07-12,Baixa,Baixa,-0.17,-0.50,0
2021-07-13,Baixa,Baixa,-0.30,-0.93,0
2021-07-14,Baixa,Baixa,-0.30,-0.84,0
2021-07-15,Baixa,Baixa,-0.22,-0.24,0
2021-07-16,Baixa,Baixa,-0.13,-0.49,0
2021-07-19,Baixa,Baixa,0.00,0.50,1
2021-07-20,Alta,Baixa,0.26,0.49,2
2021-07-21,Alta,Baixa,0.69,0.45,3
2021-07-22,Alta,Baixa,0.87,-0.61,0
2021-07-23,Baixa,Baixa,1.08,-0.35,0
2021-07-26,Alta,Baixa,1.30,0.40,1
2021-07-27,Baixa,Baixa,1.25,-0.27,0
2021-07-28,Alta,Baixa,1.07,0.88,1
2021-07-29,Alta,Baixa,0.99,-0.85,0
2021-07-30,Baixa,Baixa,0.81,-0.20,0
2021-08-02,Alta,Baixa,0.64,0.21,1
2021-08-03,Alta,Baixa,0.60,0.37,2
2021-08-04,Alta,Baixa,0.51,0.21,3
2021-08-05,Alta,Baixa,0.51,0.40,4
2021-08-06,Baixa,Baixa,0.38,-0.91,0
2021-08-09,Alta,Baixa,0.30,0.73,1
2021-08-10,Alta,Baixa,0.17,-0.12,0
2021-08-11,Baixa,Baixa,0.00,-0.65,0
2021-08-12,Alta,Alta,-0.04,0.20,1
2021-08-13,Alta,Alta,0.13,-0.13,0
2021-08-16,Alta,Alta,0.13,-0.35,0
2021-08-17,Alta,Alta,0.08,0.08,1
2021-08-18,Alta,Alta,0.25,0.54,2
2021-08-19,Baixa,Alta,0.21,-0.57,0
2021-08-20,Baixa,Alta,0.04,-0.26,0
2021-08-23,Alta,Alta,0.04,0.78,1
2021-08-24,Alta,Alta,0.08,0.17,2
2021-08-25,Baixa,Alta,0.00,-0.69,0
2021-08-26,Alta,Alta,0.00,0.45,1
2021-08-27,Alta,Alta,0.04,0.56,2
2021-08-30,Alta,Alta,0.04,0.02,3
2021-08-31,Alta,Alta,0.13,0.79,4
2021-09-01,Alta,Alta,0.21,-0.54,0
2021-09-02,Alta,Alta,0.21,0.38,1
2021-09-03,Alta,Alta,0.21,0.28,2
2021-09-07,Alta,Alta,0.17,-0.15,0
2021-09-08,Baixa,Alta,-0.08,-0.62,0
2021-09-09,Baixa,Alta,-0.21,0.78,1
2021-09-10,Baixa,Alta,-0.21,0.18,2
2021-09-13,Baixa,Alta,-0.08,-0.26,0
2021-09-14,Alta,Alta,0.04,0.36,1
2021-09-15,Alta,Alta,0.42,0.70,2
2021-09-16,Alta,Alta,0.93,0.81,3
2021-09-17,Alta,Alta,1.43,0.04,4
