Symbol,Margem_Liquida,ROE,ROA,Margem_EBITDA,PL_Historico,PL_Projetado,P_VPA,EV_EBITDA,EBITDA,DY,Divida_Liquida_EBITDA,Crescimento_Receita,Crescimento_Lucro
ILAG,0.0,-221.18,-90.3,0.0,,,1.47,-0.53,-15771006.0,,,-27.9,
ILIT,,,,,,,,,,173.0,,,
ILLR,0.0,,,0.0,,,-0.37,,,,,5.2,
ILLRW,0.0,,,0.0,,,-0.01,,,,,5.2,
ILLU,0.0,,,0.0,,,-990.0,,,,,,
ILLUU,0.0,,,0.0,,,-1002.0,,,,,,
ILLUW,0.0,,,0.0,,,-49.0,,,,,,
ILMN,19.42,33.82,8.68,26.29,30.04,27.81,9.37,22.81,1155000064.0,,2.2,4.8,6.1
ILPT,-11.93,-9.59,1.78,68.12,,-9.86,1.21,16.42,308832000.0,230.0,13.58,4.0,
IMA,0.0,-86.16,-45.62,0.0,,-1.51,0.55,0.87,-54038248.0,,,,
IMCC,-27.25,,-14.63,-12.5,,-0.13,-0.29,-2.34,-6366000.0,,,-30.6,
IMCR,-6.68,-7.14,-0.88,-2.75,,-43.46,3.77,-94.65,-11369000.0,,,13.6,150.0
IMCV,,,,,19.05,,1.14,,,195.0,,,
IMDX,0.0,,-43.29,0.0,,-6.88,-16.22,-4.55,-32569000.0,,,-98.5,
IMKTA,1.93,6.45,3.61,4.99,16.22,18.94,1.02,8.65,269207520.0,74.0,2.41,3.4,
IMMP,0.0,-61.85,-32.1,0.0,,-1.97,0.84,0.48,-82390280.0,,,91.5,
IMMR,-0.97,,,3.57,,11.96,0.74,9.91,62258000.0,456.0,4.99,10.0,
IMMX,0.0,-74.46,-38.97,0.0,,-13.36,6.23,-12.57,-35778176.0,,,,
IMNM,0.0,-50.14,-29.72,0.0,,-9.22,3.72,-7.11,-226350000.0,,,,
IMNN,0.0,-768.25,-124.42,0.0,,-0.82,2.66,-0.25,-14516720.0,,,,
IMOM,,,,,23.94,,,,,210.0,,,
IMOS,3.25,3.33,2.19,25.09,82.71,64.69,2.94,0.88,6356811776.0,120.0,2.49,25.4,200.0
IMPP,34.99,13.46,6.66,45.4,3.25,2.73,0.41,0.2,86554152.0,,0.0,92.3,90.0
IMPPP,34.99,13.46,6.66,45.4,,,2.12,11.26,86554152.0,835.0,0.0,92.3,90.0
IMRN,-62.14,-39.68,-21.93,-63.39,,-111.0,0.99,0.15,-4739534.0,,,4.8,
IMRX,0.0,-43.84,-27.88,0.0,,-3.39,1.42,-2.39,-58876424.0,,,,
IMSR,0.0,-23.78,-13.05,0.0,,-3.51,2.82,-17.33,-31207772.0,,,,
IMSRW,0.0,-23.78,-13.05,0.0,,,1.34,,-31207772.0,,,,
IMTE,0.0,-1.94,-2.15,885.59,,,0.12,23.8,643304.0,,22.39,,
IMTX,0.0,-43.21,-22.44,0.0,,-5.23,2.59,-4.49,-203930000.0,,,-59.0,
IMUX,0.0,-142.91,-65.18,0.0,,-4.25,1.36,-0.17,-109480000.0,,,,
IMVT,0.0,-64.82,-38.43,0.0,,-15.44,9.0,-12.81,-532492992.0,,,,
IMXI,4.31,16.83,7.63,14.04,16.15,7.74,2.54,6.11,82719000.0,,3.17,-14.9,-93.2
INAB,0.0,-103.55,-52.75,0.0,,-1.38,0.63,0.29,-17839000.0,,,,
INAC,0.0,,,0.0,36.46,,-43.26,,,,,,
INACR,0.0,,,0.0,,,-0.59,,,,,,
INACU,0.0,,,0.0,,,-43.77,,,,,,
INBK,-70.92,-8.98,-0.58,0.0,,5.51,0.63,,,92.0,,13.7,165.5
INBKZ,,,,,,,,,,,,,
INBS,-296.77,-170.19,-57.25,-261.5,,6.56,0.51,-0.03,-10233371.0,,,45.5,
INBX,0.0,-354.69,-36.06,0.0,,-14.75,-64.52,-11.45,-120706000.0,,,,
INCR,-13.22,-9.27,-5.78,-20.48,,-0.74,0.14,,-55343000.0,,,23.9,
INCY,26.71,30.82,13.89,28.89,14.75,11.35,3.71,10.9,1548935040.0,,0.03,20.9,83.8
IND,,,,,22.72,,,,,,,,
INDB,27.46,7.32,1.08,0.0,16.49,9.93,1.14,,,297.0,,51.6,56.7
INDH,,,,,23.6,,,,,0.0,,,
INDI,-69.35,-41.16,-10.2,-47.17,,25.85,2.39,-10.32,-103197000.0,,,2.6,
INDP,0.0,-931.79,-286.81,0.0,,-2.67,337.27,,,,,,
INDQ,,,,,22.48,,,,,,,,
INDV,19.53,,22.65,36.82,20.49,10.07,-33.86,10.96,475000000.0,,1.07,19.2,82.0
INDY,,,,,22.62,,,,,65.0,,,
INEO,-0.68,-5.73,-0.08,0.62,,,1.86,66.3,363000.0,,54.6,-20.6,
INGN,-7.08,-13.07,-6.14,-2.51,,-25.15,0.98,-9.51,-8812000.0,,,3.4,
INHD,-86.84,-14.7,-8.75,0.0,,,0.35,,,,,94.9,
INIO,3.63,,,17.66,273.64,,128.13,62.14,496400000.0,,5.93,35.3,
INKT,0.0,,-110.89,0.0,,-4.32,-4.83,-4.05,-12824112.0,,,,
INLF,-29.59,-41.26,-16.82,-29.83,,,0.0,0.18,-5489902.0,,,-10.2,
INM,-172.17,-112.65,-54.61,-158.51,,-0.24,0.72,-0.02,-7834568.0,,,,
INMB,0.0,-168.78,-52.61,0.0,,-2.7,1.92,,,,,,
INMD,23.27,13.62,6.86,21.49,9.89,9.18,1.24,3.9,80521000.0,,0.06,5.3,-30.8
INNV,-1.22,-5.88,0.65,2.51,,24.53,5.52,52.47,23826000.0,,3.94,15.5,
INO,0.0,-296.36,-76.36,0.0,,-2.76,15.27,-0.78,-82358176.0,,,,
INOD,13.86,38.6,18.06,18.31,77.71,43.52,22.16,52.57,51903000.0,,0.08,54.4,90.9
INRO,,,,,27.87,,,,,65.0,,,
INSE,-18.71,,1.67,20.83,,11.56,-12.97,9.96,28521000.0,,4.63,-10.1,
INSG,-1.26,,1.68,1.98,16.02,16.02,-6.55,60.43,3336000.0,,16.21,8.4,
INSM,-144.44,-294.46,-31.11,-115.8,,739.2,31.38,-22.82,-949036032.0,,,229.6,
INTA,-6.48,-8.94,-2.73,-3.45,,14.17,5.27,-80.84,-19344000.0,,,13.1,
INTC,-5.9,-2.91,0.63,26.36,,85.54,5.96,48.73,14174000128.0,,3.18,7.2,
INTG,-0.29,,6.24,23.73,,,-1.1,14.58,17039000.0,,11.43,21.1,
INTJ,-98.35,-23.47,-14.96,-108.11,,,0.6,2.9,-19979666.0,,,3.5,
INTR,22.48,15.53,1.68,0.0,8.6,5.11,1.2,,,212.0,,25.3,36.9
INTS,0.0,-207.37,-90.39,0.0,,-1.48,1.02,,,,,,
INTU,21.91,22.5,9.46,30.63,15.74,9.44,3.43,11.03,6409999872.0,186.0,1.08,10.4,10.7
INTW,,,,,,,,,,0.0,,,
INTZ,-169.52,-123.09,-51.33,-145.23,,-2.29,3.9,-1.63,-9016000.0,,,-50.0,
INV,0.0,-47.4,-11.73,0.0,,-97.5,2.1,-7.78,-94825000.0,,,544.2,
INVA,119.88,50.72,6.72,45.81,3.76,10.66,1.3,7.57,192700000.0,,1.72,10.6,
INVE,-70.52,-11.58,-7.99,-74.15,,-7.81,0.65,1.93,-17520000.0,,,40.7,
INVZ,-181.46,-97.18,-35.89,-167.02,,-3.2,1.68,-1.46,-74877000.0,,,-59.0,
IONL,,,,,,,,,,0.0,,,
IONR,0.0,,,0.0,,,1.21,-37.65,-7858000.0,,,,
IONS,-30.9,-67.62,-7.03,-32.0,,-102.17,25.65,-38.95,-338648992.0,,,87.0,
IONX,,,,,,,,,,159.0,,,
IONZ,,,,,,,,,,,,,
IOSP,6.38,8.69,5.03,10.46,17.87,13.39,1.5,9.53,187300000.0,219.0,0.27,2.8,-6.9
IOTR,-3.16,-12.75,-3.44,-0.22,,,1.83,-267.32,-27861.0,,,39.8,
IOVA,-123.9,-47.51,-23.65,-112.61,,-13.91,2.7,-5.34,-321622016.0,,,44.8,
IOYY,,,,,,,,,,,,,
IPAR,11.32,19.76,11.29,19.71,18.87,17.84,3.61,11.41,294548000.0,321.0,0.62,1.8,2.3
IPCX,0.0,,,0.0,114.67,,-25.36,,,,,,
IPCXR,0.0,,,0.0,,,-1.06,,,,,,
IPCXU,0.0,,,0.0,,,-26.14,,,,,,
IPDN,-115.08,-86.42,-37.6,-97.19,,-4.33,0.45,-0.93,-6404737.0,,,2.9,
IPEX,0.0,,,0.0,1049.0,,-19.0,,,,,,-60.8
IPEXR,0.0,,,0.0,,,-1.25,,,,,,-60.8
IPEXU,0.0,,,0.0,,,-19.75,,,,,,-60.8
IPFX,0.0,,,0.0,,,-7.94,,,,,,
IPFXU,0.0,,,0.0,,,-8.5,,,,,,
IPFXW,0.0,,,0.0,,,-1.69,,,,,,
IPGP,2.78,1.39,0.64,8.81,158.31,46.57,2.16,41.1,91790000.0,,0.18,16.6,-57.5
IPHA,0.0,,-38.85,0.0,,-2.98,-7.13,-3.1,-53309000.0,,,-46.7,
IPKW,,,,,12.59,,,,,349.0,,,
IPM,-14.01,-17.77,-5.56,-1.5,,13.23,1.28,-53.55,-366106.0,,,15.2,
IPSC,0.0,-42.67,-22.28,0.0,,-5.27,1.64,-3.42,-101596000.0,,,,
IPST,0.0,-1255.58,-21.16,-104.61,,13.64,0.05,-0.6,-11025380.0,,,60.7,
IPVVU,0.0,,,0.0,,,-1651.67,,,,,,
IPW,-24.98,-47.88,-14.24,-23.14,,41.0,0.03,-1.16,-7409772.0,,,-78.2,
IPWR,0.0,-69.04,-38.63,0.0,,-4.86,3.5,-4.56,-11384103.0,,,,
IPX,0.0,-50.42,-28.24,0.0,,-40.96,8.95,-17.41,-52644744.0,,,,
IQ,-2.59,-5.12,-0.46,21.52,,12.55,0.52,2.04,5665359360.0,,2.51,-13.4,
IQQQ,,,,,31.65,,,,,474.0,,,
IQST,-2.62,-67.7,-3.12,-0.42,,-10.91,0.6,-5.61,-1484570.0,,,,
IRD,0.0,-7594.6,-46.79,0.0,,-5.7,-6.36,-6.93,-42981000.0,,,-50.6,
IRDM,12.05,21.39,5.5,50.08,44.61,31.92,9.97,14.47,438585984.0,136.0,4.08,1.9,-25.9
IREG,,,,,,,,,,,,,
IREN,20.88,7.73,-3.0,19.44,71.06,-58.21,7.0,144.78,147176000.0,,26.94,-0.0,
IRHO,0.0,,,0.0,251.5,,-28.99,,,,,,
IRHOR,0.0,,,0.0,,,-0.52,,,,,,
IRHOU,0.0,,,0.0,,,-29.45,,,,,,
IRIX,-6.23,-56.54,-5.38,-4.71,,59.0,-16.16,-10.6,-2474000.0,,,-0.8,
IRMD,27.37,25.04,16.17,34.05,50.47,39.22,11.98,38.27,29379000.0,87.0,0.0,12.6,22.1
IRON,0.0,-35.83,-22.67,0.0,,-9.29,3.91,-7.53,-264398000.0,,,,
IRTC,-3.53,-22.42,-1.15,-1.42,,104.75,22.44,-340.21,-11165000.0,,,25.7,
IRWD,28.26,,33.15,56.4,6.23,2.68,-2.93,4.96,203879008.0,,2.93,158.9,
ISBA,24.47,8.88,0.92,0.0,14.76,10.12,1.25,,,280.0,,13.7,28.3
ISHG,,,,,,,,,,144.0,,,
ISHP,,,,,17.33,,,,,152.0,,,
ISPC,0.0,-894.59,-91.78,0.0,,-3.22,2.31,-0.11,-9680486.0,,,-85.2,
ISPR,-38.2,,-21.98,-36.76,,-65.33,-6.95,-3.02,-32887652.0,,,-28.7,
ISRG,28.15,17.23,10.24,36.72,49.05,34.21,8.18,35.62,3885600000.0,,0.0,23.0,18.8
ISSC,18.82,27.14,12.97,30.14,17.25,17.39,4.05,12.51,27293868.0,,2.01,2.0,-36.7
ISTB,,,,,10.95,,,,,423.0,,,
ISTM,,,,,,,,,,1300.0,,,
ISTR,26.73,8.59,0.87,0.0,13.16,9.18,1.07,,,161.0,,57.6,22.2
ISUL,,,,,,,,,,,,,
ITHA,0.0,,,0.0,,,-34.03,,,,,,
ITHAU,0.0,,,0.0,,,-34.69,,,,,,
ITHAW,0.0,,,0.0,,,-0.85,,,,,,
ITIC,13.59,14.44,8.66,18.74,13.16,,1.83,8.06,52512000.0,70.0,0.17,13.2,91.6
ITOC,0.0,-71.25,-40.98,0.0,,,0.89,-0.91,-5173649.0,,,91.6,
ITRI,12.31,18.58,5.1,15.39,12.96,12.37,2.24,12.47,361297984.0,,4.43,-3.3,-16.9
ITRN,16.03,30.26,13.63,26.55,20.9,17.32,6.07,11.66,99622000.0,315.0,0.04,18.8,16.0
IUS,,,,,23.1,,,,,129.0,,,
IUSB,,,,,10.94,,,,,424.0,,,
IUSG,,,,,29.61,,1.11,,,47.0,,,
IUSV,,,,,23.06,,1.55,,,167.0,,,
IVA,0.0,,-45.08,0.0,,-4.22,-21.51,-6.8,-132497000.0,,,-89.9,
IVAL,,,,,12.2,,,,,263.0,,,
IVDA,-55.42,-77.65,-29.84,-55.41,,0.23,0.52,0.09,-2936868.0,,,1.3,
IVDAW,-55.42,-77.65,-29.84,-55.41,,,0.06,,-2936868.0,,,1.3,
IVF,-158.73,-102.22,-13.81,-78.2,0.01,-0.17,0.14,-0.34,-5645846.0,,,23.1,
IVSI,,,,,17.04,,,,,,,,
IVSS,,,,,16.76,,,,,,,,
IVSX,,,,,11.8,,,,,,,,
IVVD,-138.9,-60.34,-29.59,-145.27,,-1.61,1.3,-1.23,-81157000.0,,,21.6,
IXHL,0.0,-117.17,-32.19,0.0,,-1.97,0.6,1.41,-24695000.0,,,,
IXUS,,,,,17.85,,,,,283.0,,,
IZEA,-1.98,-1.23,-2.58,-7.54,,-8.63,1.27,-6.88,-2250731.0,,,-17.5,
IZM,0.64,7.76,1.51,0.58,3.76,,0.29,16.66,1082318.0,,14.1,7.2,
JACK,2.49,,4.35,15.95,,3.16,-0.24,12.2,228510000.0,1571.0,11.42,-4.3,
JAGX,-115.4,,-35.86,-79.81,,-0.45,-0.07,-1.55,-23598000.0,,,815.6,
JAKK,1.41,3.34,1.92,4.1,31.76,6.8,1.05,10.46,23105000.0,449.0,2.17,-5.8,
JANX,0.0,-11.72,-9.44,0.0,,-5.38,0.96,0.17,-155004000.0,,,,
JAPN,,,,,16.86,,,,,27.0,,,
JATT,0.0,,,0.0,,,2600.0,,,,,,
JAZZ,0.66,0.68,6.92,45.24,1918.75,8.99,3.19,8.46,2008267008.0,,2.7,19.1,
JBDI,-11.75,-20.12,-10.34,-10.74,,,2.68,-10.56,-868000.0,,,-8.1,
JBHT,5.13,16.68,6.9,13.25,41.87,29.33,7.06,16.76,1608156032.0,67.0,0.97,4.6,27.4
JBIO,0.0,,,0.0,,-9.64,3.66,,,,,,
JBLU,-7.78,-33.51,-1.44,2.67,,-7.1,1.14,37.64,245000000.0,,38.1,4.7,
JBSS,5.76,18.27,9.39,10.43,14.3,17.15,2.46,8.7,121456000.0,110.0,0.85,8.0,-16.9
JCAP,25.8,36.78,12.29,60.47,3.4,6.02,2.19,6.3,378132000.0,548.0,3.8,11.9,
JCSE,15.94,17.85,1.12,6.44,2.69,,0.45,0.97,1308000.0,3411.0,3.39,61.7,
JCTC,-19.19,-41.21,-17.72,-15.93,,,0.51,-1.73,-6718357.0,,,16.4,
JD,1.05,6.0,-0.28,0.53,19.07,6.05,1.12,0.84,7084000256.0,383.0,15.25,4.9,-50.7
JDOC,,,,,28.57,,,,,90.0,,,
JDZG,-41.23,-10.96,-6.78,-43.63,,,0.26,-1.56,-11213717.0,,,66.2,
JEM,-38.3,-133.41,-45.63,-37.21,,,0.52,0.85,-39775920.0,,,23.5,
JEMA,,,,,18.41,,,,,227.0,,,
JEPQ,,,,,32.17,,,,,1011.0,,,
JF,-82.85,,-4.01,-35.36,,,13.09,-44.68,-565000.0,,,,
JFB,-22.94,-29.88,-16.65,-23.55,,,1.53,-8.35,-8785606.0,,,114.5,
JFIN,24.68,40.63,15.86,30.03,0.66,1.5,0.23,0.45,1868231936.0,2010.0,0.38,-22.4,-62.4
JFU,58.02,4.51,0.17,8.93,1.26,,0.06,-122.53,25883000.0,,0.92,-17.6,
JG,1.05,5.49,0.45,2.03,46.3,463.0,2.94,-8.01,7682750.0,,1.9,4.9,
JGLO,,,,,23.51,,,,,114.0,,,
JHAI,,,,,36.06,,,,,,,,
JIVE,,,,,12.16,,,,,197.0,,,
JJSF,3.75,6.41,4.46,11.02,24.32,16.53,1.54,8.72,171094000.0,441.0,1.13,-3.2,-64.2
JKHY,20.64,24.89,13.66,28.44,17.23,17.64,4.18,12.6,715414016.0,190.0,0.19,8.7,12.5
JL,6.09,16.98,6.75,6.37,8.9,,1.37,5.45,2724549.0,,1.12,19.3,-16.1
JLHL,10.38,59.99,7.52,12.25,102.63,,40.56,11.86,30881964.0,,0.33,85.4,71.7
JMID,,,,,24.03,,,,,64.0,,,
JMSB,35.59,8.64,0.97,0.0,13.85,10.3,1.15,,,219.0,,16.2,27.6
JOUT,-2.33,-3.54,0.67,4.19,,19.4,1.12,14.96,27292000.0,289.0,1.68,15.5,304.5
JOYT,,,,,26.43,,,,,,,,
JOYY,10.36,3.26,0.49,7.0,15.2,10.45,0.51,15.04,152959744.0,724.0,0.34,12.4,-97.2
JPEF,,,,,26.8,,,,,65.0,,,
JPFP,,,,,25.27,,,,,,,,
JPY,,,,,17.19,,,,,204.0,,,
JRSH,2.13,5.68,4.58,5.66,17.48,8.91,0.93,6.16,9402380.0,419.0,0.91,46.6,
JRVR,4.34,4.74,0.61,7.18,9.57,3.63,0.36,8.79,47847668.0,100.0,6.89,-12.1,
JSM,,,,,14.94,,1.31,,,,,,
JSMD,,,,,23.61,,,,,47.0,,,
JSML,,,,,22.72,,,,,53.0,,,
JSPR,0.0,-244.21,-112.23,0.0,,-0.19,4.04,-0.0,-69935000.0,,,,
JSPRW,0.0,-244.21,-112.23,0.0,,,0.1,,-69935000.0,,,,
JTAI,68.77,20.48,-21.09,-132.19,0.02,-3.52,0.13,0.32,-9761450.0,,,-51.6,
JTEK,,,,,39.55,,,,,0.0,,,
JUNS,0.0,-6529.17,-130.92,0.0,,3.93,-4.45,,,,,,
JVA,1.53,5.32,3.79,3.23,12.33,8.32,0.66,6.7,3205207.0,240.0,1.49,-5.1,-59.2
JWEL,-3.81,-44.27,-13.15,-2.96,,,0.5,-0.92,-4889985.0,,,87.8,
JXG,-13.26,-48.53,-16.97,-7.45,,,0.82,-17.89,-6175468.0,,,166.7,
JYD,-5.93,-43.74,-10.68,-5.81,,,0.2,0.81,-34881184.0,,,8.6,
JYNT,5.72,7.0,0.61,4.15,101.44,21.07,8.09,45.3,2349001.0,,0.87,13.3,43.8
JZ,-22.43,-38.76,-10.23,-22.76,,,0.18,0.06,-15970610.0,,,58.1,
JZXN,0.0,-90.7,-45.05,0.0,,,0.11,0.24,-9957149.0,,,,
KALA,0.0,-238.68,-69.27,0.0,,-0.47,5.39,-1.48,-33234750.0,,,,
KALU,4.14,18.77,5.75,9.81,19.53,16.49,3.31,10.84,363300000.0,172.0,2.94,42.4,183.2
KALV,-118.74,,,-120.94,,17.48,,-10.38,-138447008.0,,,,
KARO,18.14,30.77,16.23,39.03,24.39,17.08,7.46,0.71,2138409984.0,575.0,0.54,18.8,-11.4
KAT,,,,,22.23,,,,,39.0,,,
KBAB,,,,,15.98,,,,,9389.0,,,
KBDU,,,,,38.8,,,,,,,,
KBON,0.0,,,0.0,,,-37.61,,,,,,
KBONU,0.0,,,0.0,,,-38.25,,,,,,
KBONW,0.0,,,0.0,,,-2.14,,,,,,
KBSX,6.06,15.85,0.68,5.71,15.71,10.0,2.91,26.1,2959101.0,,11.91,36.2,
KBWB,,,,,15.72,,,,,206.0,,,
KBWD,,,,,10.08,,,,,1403.0,,,
KBWP,,,,,10.76,,,,,203.0,,,
KBWY,,,,,28.22,,,,,861.0,,,
KC,-9.39,-13.54,-1.83,21.49,,-98.68,2.1,3.99,2211645952.0,,4.88,37.2,
KCHV,0.0,,,0.0,35.76,,-56.67,,,,,,108.0
KCHVR,0.0,,,0.0,,,-1.2,,,,,,108.0
KCHVU,0.0,,,0.0,,,-57.49,,,,,,108.0
KDK,0.0,,-98.11,0.0,,-9.33,-4.21,-9.81,-127749000.0,,,24.4,
KDKRW,0.0,,-98.11,0.0,,,-0.66,,-127749000.0,,,24.4,
KDP,10.81,6.31,3.61,26.22,22.87,12.23,1.66,17.64,4441999872.0,298.0,6.5,9.4,-47.7
KE,1.81,4.62,3.53,6.86,24.34,18.84,1.06,7.2,98826000.0,,1.82,-5.8,53.3
KEAT,,,,,14.59,,,,,224.0,,,
KEEL,-171.23,-54.94,-9.02,-5.46,,-101.54,9.5,-353.61,-11931000.0,,,-22.4,
KELYA,-6.44,-24.07,0.95,1.9,,6.64,0.41,7.06,78200000.0,264.0,2.35,-10.7,
KELYB,-6.44,-24.07,0.95,1.9,,,0.66,10.23,78200000.0,162.0,2.35,-10.7,
KEQU,3.85,17.41,6.85,9.04,9.48,16.33,1.43,5.92,26021000.0,,2.28,3.3,-48.9
KEYYU,0.0,,,0.0,,,-2015.42,,,,,,
KFFB,12.94,2.87,0.37,0.0,28.56,,0.79,,,,,35.3,8205.9
KFII,0.0,,,0.0,37.71,,-44.0,,,,,,4.2
KFIIR,0.0,,,0.0,,,-0.46,,,,,,4.2
KFIIU,0.0,,,0.0,,,-44.29,,,,,,4.2
KG,91.44,68.4,-0.39,0.0,2.13,,0.75,,,,,1112.0,
KGEI,22.67,6.79,4.96,63.18,13.05,7.75,0.84,5.82,38297000.0,,1.29,19.5,-31.3
KHC,-23.05,-12.58,3.47,23.06,,10.75,0.64,7.6,5761999872.0,712.0,3.67,0.8,13.6
KIDS,-16.31,-11.57,-3.39,-1.89,,-27.02,1.39,-116.36,-4601000.0,,,13.3,
KIDZ,0.0,,-37.11,-121.63,,,0.35,-1.36,-3733428.0,,,-36.4,
KIDZW,0.0,,-37.11,-121.63,,,0.0,,-3733428.0,,,-36.4,
KINS,13.86,31.6,5.76,18.68,7.78,5.73,2.18,5.78,41865160.0,117.0,0.1,23.2,
KIQQ,,,,,33.23,,,,,,,,
KITT,0.0,-1474.41,-33.12,0.0,,-4.7,1.28,-1.21,-21008012.0,,,-3.4,
KITTW,0.0,-1474.41,-33.12,0.0,,,0.02,,-21008012.0,,,-3.4,
KJD,,,,,13.06,,,,,,,,
KLAC,35.66,94.98,21.28,44.67,69.46,48.3,54.81,54.79,5850215936.0,38.0,1.05,11.5,11.8
KLAG,,,,,,,,,,,,,
KLIC,7.16,6.39,3.88,11.48,123.4,30.0,7.76,70.31,88225000.0,65.0,0.45,49.8,
KLRA,0.0,-36.9,-22.73,0.0,,-5.73,-0.0,,-158030000.0,,,,
KLRS,0.0,-66.6,-27.97,0.0,,-2.73,1.5,,,,,,
KLTR,-8.25,-107.84,-1.23,0.69,,20.77,43.55,151.24,1228000.0,,36.26,-5.0,
KLXE,-11.67,,-4.56,10.6,,-1.16,-0.55,5.58,66500000.0,,5.0,-6.0,
KMB,12.8,111.73,10.16,20.24,20.11,13.74,19.21,12.29,3351000064.0,493.0,2.12,2.7,17.9
KMDA,11.21,7.97,4.19,21.42,20.37,11.63,1.59,8.99,38910000.0,351.0,0.3,2.8,0.0
KMLI,,,,,39.21,,,,,1706.0,,,
KMRK,-3.47,-11.33,-3.28,-2.49,,,3.04,-39.19,-425862.0,,,-12.3,
KMTS,-172.99,-92.65,-36.84,-161.72,,-9.67,4.19,-7.11,-135388992.0,,,62.7,
KNDI,-107.37,-30.99,-5.92,-41.05,,4.09,0.15,1.01,-35890560.0,,,-32.3,
KNGZ,,,,,16.85,,,,,235.0,,,
KNSA,9.69,13.74,8.18,12.58,65.37,33.85,7.24,43.4,94893000.0,,0.1,55.5,145.5
KOD,0.0,-208.8,-49.05,0.0,,-11.88,20.49,-10.04,-219168000.0,,,,
KOID,,,,,40.86,,,,,,,,
KOPN,5.0,4.42,-12.71,-41.12,404.5,-101.13,11.76,-42.53,-16175965.0,,,0.1,
KOSS,-8.57,-3.65,-5.06,-20.89,,,1.27,-14.22,-2682957.0,,,1.6,
KOYN,0.0,,,0.0,101.3,,-46.47,,,,,,
KOYNU,0.0,,,0.0,,,-47.61,,,,,,
KOYNW,0.0,,,0.0,,,-1.04,,,,,,
KPDD,,,,,8.4,,,,,11604.0,,,
KPLT,4.26,,22.29,66.53,5.47,-4.4,-0.97,0.55,198808992.0,,0.36,9.8,
KPLTW,4.26,,22.29,66.53,,,-0.0,,198808992.0,,0.36,9.8,
KPRX,0.0,-58.78,-22.41,0.0,,-1.17,0.75,0.2,-9871807.0,,,,
KPTI,-129.02,,-40.62,-55.57,,-1.97,-0.82,-5.13,-83981000.0,,,16.8,
KQQQ,,,,,31.37,,,,,1363.0,,,
KRAQ,0.0,,,0.0,,,-21.69,,,,,,
KRAQU,0.0,,,0.0,,,-21.91,,,,,,
KRAQW,0.0,,,0.0,,,-0.94,,,,,,
KRKR,4.9,9.24,2.18,5.37,72.88,48.58,0.31,-5.09,12242000.0,,3.22,4.7,
KRMA,,,,,22.71,,,,,232.0,,,
KRMD,-5.27,-13.7,-5.81,-4.44,,51.63,11.25,-96.01,-1919584.0,,,22.1,
KRNT,-7.93,-2.39,-2.74,-10.1,,58.91,1.06,-13.83,-21234000.0,,,4.5,
KRNY,21.02,4.75,0.47,0.0,15.46,11.22,0.73,,,499.0,,17.5,50.5
KROP,,,,,21.83,,,,,238.0,,,
KROS,-256.6,-16.79,-12.23,0.0,,-1.97,0.76,0.45,-105780000.0,,,-99.8,
KRRO,0.0,-87.78,-26.81,0.0,,-2.72,1.65,-1.6,-79323000.0,,,,
KRT,6.61,20.92,8.74,10.92,18.74,12.26,4.03,12.28,52526000.0,605.0,1.46,12.9,5.6
KRUS,-0.63,-0.85,-0.42,4.2,,172.61,2.5,56.38,12892000.0,,15.76,23.3,
KRYS,53.92,19.9,9.04,43.25,45.48,33.76,7.84,51.06,180468000.0,,0.05,31.9,52.5
KSCP,-257.99,-142.77,-50.88,-233.32,,-0.91,0.95,-0.91,-33678000.0,,,106.2,
KSPI,24.91,46.75,14.3,56.29,7.53,0.01,0.01,,2418668994560.0,430.0,,31.3,-1.0
KTCC,-4.4,-15.6,-1.56,0.16,,,0.4,275.72,638000.0,,212.39,-20.0,
KTOS,2.08,1.23,0.57,5.74,298.82,47.18,2.79,101.56,81200000.0,,2.28,22.6,130.6
KTTA,0.0,-58.22,-31.49,0.0,,-0.56,0.26,1.82,-17232384.0,,,,
KTTAW,0.0,-58.22,-31.49,0.0,,,0.0,,-17232384.0,,,,
KTWO,0.0,,,0.0,,,-585.29,,,,,,
KTWOR,0.0,,,0.0,,,-13.53,,,,,,
KTWOU,0.0,,,0.0,,,-597.65,,,,,,
KURA,0.0,-124.74,-28.44,0.0,,-3.91,8.54,-1.15,-316600000.0,,,29.5,
KUST,-112.56,-147.88,-21.93,-49.85,,,0.17,-0.23,-7450156.0,,,38.1,
KVAC,0.0,,,0.0,81.33,,-16.07,,,,,,-76.9
KVACU,0.0,,,0.0,,,-8.98,,,,,,-76.9
KVACW,0.0,,,0.0,,,-0.02,,,,,,-76.9
KVHI,-4.31,-3.78,-3.69,1.02,,12.35,1.37,104.13,1207000.0,,3.55,27.2,
KWM,-263.5,,-45.92,-75.03,,,-0.85,-0.75,-58584469504.0,,,107959.0,
KWMWW,-263.5,,-45.92,-75.03,,,-0.08,,-58584469504.0,,,107959.0,
KXIN,0.0,-307.15,-68.49,0.0,,,0.33,-0.28,-27701000.0,,,,
KYIV,13.47,13.3,12.8,48.0,20.11,0.23,2.49,5.77,588000000.0,,0.89,26.7,75.3
KYIVW,13.47,13.3,12.8,48.0,,,0.95,,588000000.0,,0.89,26.7,75.3
KYMR,0.0,-27.09,-17.16,0.0,,-22.61,5.24,-21.55,-348584992.0,,,55.5,
KYNB,2199.42,,-20.17,0.0,,-0.72,-0.64,0.12,-43916000.0,,,36.5,
