Symbol,Margem_Liquida,ROE,ROA,Margem_EBITDA,PL_Historico,PL_Projetado,P_VPA,EV_EBITDA,EBITDA,DY,Divida_Liquida_EBITDA,Crescimento_Receita,Crescimento_Lucro
AHMA,6.05,12.97,6.44,6.87,46.5,,4.43,37.78,1388851.0,,0.08,4.6,4.2
AIA,,,,,18.86,,,,,109.0,,,
AIAI,0.0,,,0.0,,,,,,,,,
AIDX,-279.13,-241.59,-58.85,-212.6,,,2.58,-0.91,-3921809.0,,,-36.2,
AIFA,0.0,-66.12,-19.77,0.0,,,0.5,-0.15,-27354392.0,,,-31.7,
AIFC,0.0,-131.9,-2.85,-83.51,,,0.09,-5.85,-20630000.0,,,-2.8,
AIFD,,,,,40.56,,,,,0.0,,,
AIFF,0.0,-131.44,-45.65,0.0,,,2.31,-2.06,-8383000.0,,,1027.9,
AIFU,0.0,-146.85,-35.2,-286.37,,83.34,13.34,-0.2,-1593858944.0,,,-39.8,
AIHS,-115.74,-135.66,-44.55,-126.88,,,15.06,-1.52,-3974467.0,,,-20.5,
AIIO,0.0,,-394.6,0.0,,,-0.52,-0.51,-156854000.0,,,-98.2,
AIIOW,0.0,,-394.6,0.0,,,-0.01,,-156854000.0,,,-98.2,
AIIR,0.0,,,0.0,23.1,10.65,,,,,,,
AIMD,0.0,-148.24,-33.84,0.0,,,1.98,-2.95,-8334230.0,,,-99.8,
AIMDW,0.0,-148.24,-33.84,0.0,,,0.15,,-8334230.0,,,-99.8,
AIMS,,,,,21.82,,,,,,,,
AIOS,0.0,-207.31,0.67,61.0,,,0.73,14.53,3091202.0,,0.0,,
AIOT,-4.63,-4.3,2.02,19.33,,11.49,1.06,9.04,85772000.0,,3.46,10.5,
AIP,-44.92,,-17.92,-39.32,,257.62,736.07,-61.84,-30267000.0,,,38.7,
AIPI,,,,,32.44,,,,,66.0,,,
AIPO,,,,,41.0,,,,,,,,
AIQ,,,,,27.44,,,,,14.0,,,
AIRE,0.0,-457.19,-60.97,0.0,,-1.21,1.38,-0.46,-17487576.0,,,-9.1,
