Symbol,Market_Cap_Atual
AMPGR,0.0
AMPGZ,0.0
AMPH,861134708.07
AMPL,691754792.76
AMRN,334876670.73
AMRX,5314919714.72
AMSC,2017485840.41
AMSF,604692916.43
AMSS,28321143.5
AMST,6613873.05
AMTX,126659658.6
AMUN,0.0
AMUU,0.0
AMYY,0.0
AMZD,0.0
AMZN,2518346890061.96
AMZU,0.0
AMZZ,0.0
ANAB,1729466605.86
ANDE,2410346083.68
ANEL,0.0
ANGH,47590242.0
ANGHW,0.0
ANGI,195363917.28
ANGL,0.0
ANGO,511114978.55
ANIK,194129054.16
ANIP,1885609216.92
ANIX,93903653.88
ANL,622586802.4
ANNA,117497800.0
ANNAW,0.0
ANNX,865088600.64
ANPA,69468073.0
ANSC,375313501.8
ANSCU,0.0
ANSCW,0.0
ANTA,143955096.0
ANTX,179360481.78
ANV,0.0
ANY,20970740.2
AOHY,0.0
AOSL,1348926080.46
AOTG,0.0
AOUT,128098879.2
APA,12095751167.94
APAC,62257562.5
APACR,0.0
APACU,0.0
APC,237702916.93
APEI,950009243.52
APGE,8198307060.24
API,279050452.26
APLD,12936787030.53
APLM,44118684.68
APLMW,0.0
APM,5267863.09
APMCU,0.0
APOG,857669870.85
APP,142782958640.0
APPF,3521676756.48
APPN,868080314.85
APPS,1117329925.54
APPX,0.0
APRE,10277704.08
APURU,0.0
APVO,5769466.15
APWC,80403285.3
APXT,346423500.0
APXTU,0.0
APXTW,0.0
APYX,170845720.08
AQB,5250148.08
AQMS,10523078.78
AQST,631014098.57
AQWA,0.0
ARAI,22818112.68
ARAY,39258019.68
ARBB,8137830.16
ARBE,87081317.53
ARBEW,0.0
ARBK,50490394.65
ARCB,3200195737.2
ARCC,12845428697.05
ARCI,351914760.0
ARCIU,0.0
ARCIW,0.0
ARCL,126304200.0
ARCLR,0.0
ARCLU,0.0
ARCLW,0.0
ARCT,201235328.52
ARDX,1526641611.66
AREC,224639671.2
ARGX,53071043771.4
ARHS,384780960.48
ARKO,864951908.91
ARKR,22682727.53
ARLP,3158573564.55
ARM,391333376876.4
ARMG,0.0
ARMY,0.0
AROW,660334309.05
ARQ,105598594.68
ARQQ,505366015.44
ARQQW,0.0
ARQT,3285940234.98
ARRY,1215228386.2
ARTC,301898663.36
ARTCU,0.0
ARTCW,0.0
ARTL,4391780.4
ARTNA,308596782.48
ARTV,476164340.4
ARTW,13367975.88
ARVN,525202551.72
ARVR,0.0
ARWR,11254475977.9
ARXS,3158988032.5
ASBP,7991593.78
ASBPW,0.0
ASCI,0.0
ASD,0.0
ASEC,0.0
ASLE,304308218.76
ASMB,531102300.0
ASMG,0.0
ASML,685449900495.9
ASMU,0.0
ASND,15645807902.34
ASO,3082313038.7
ASPC,25198045.18
ASPCR,0.0
ASPCU,0.0
ASPI,891396404.76
ASPS,78501485.04
ASPSW,0.0
ASPSZ,0.0
ASRT,151861230.0
ASRV,64803499.94
ASST,1001440744.65
ASTC,21195742.22
ASTE,1303222268.4
ASTH,2042836821.6
ASTI,50904952.06
ASTL,438416655.04
ASTLW,0.0
ASTS,21769648929.21
ASUR,221135390.43
ASYS,355451773.33
ATAI,1509483363.4
ATAT,3655523963.1
ATC,0.0
ATCX,19440064.94
ATEC,1307209092.5
ATER,14064583.0
ATEX,1512763394.58
ATGL,167887500.0
ATHE,89903442.24
ATHR,38863136.0
ATII,322826900.0
ATIIU,306345850.0
ATIIW,0.0
ATLC,1532360175.92
ATLCL,0.0
ATLCP,0.0
ATLCZ,0.0
ATLN,101381655.97
ATLO,273245237.0
ATLX,108821373.03
ATNI,410668775.1
ATOM,291531480.0
ATOS,18952494.3
ATPC,3222015.72
ATRA,100553519.52
ATRC,1440229186.8
ATRO,3179683341.6
ATXG,3631756.95
ATYR,52947654.48
AUBN,88903365.2
AUC,64458581.25
AUDC,232646031.96
AUGO,5135250000.0
AUID,16616461.61
AUMI,0.0
AUPH,2299397877.48
AUR,10617806276.52
AURA,725773637.16
