Symbol,Setor,commodity,ticker_commodity,descricao,direcao,impacto
AMD,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
AMZN,Consumer Cyclical,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
AMZN,Consumer Cyclical,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
AMZN,Consumer Cyclical,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
AMZN,Consumer Cyclical,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
AVGO,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
AVGO,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
AVGO,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
BKNG,Consumer Cyclical,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
BKNG,Consumer Cyclical,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
BKNG,Consumer Cyclical,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
BKNG,Consumer Cyclical,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
CDNS,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
CDNS,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
CDNS,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
CHTR,Communication Services,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
CHTR,Communication Services,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
CHTR,Communication Services,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
CHTR,Communication Services,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
CMCSA,Communication Services,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
CMCSA,Communication Services,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
CMCSA,Communication Services,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
CMCSA,Communication Services,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
COST,Consumer Defensive,Soja,ZS=F,Soybean Futures,positiva,Preço da Soybean Futures positivo influencia o preço da ação na mesma direção
COST,Consumer Defensive,Milho,ZC=F,Corn Futures,positiva,Preço da Corn Futures positivo influencia o preço da ação na mesma direção
COST,Consumer Defensive,Trigo,ZW=F,Wheat Futures,positiva,Preço da Wheat Futures positivo influencia o preço da ação na mesma direção
COST,Consumer Defensive,Cafe,KC=F,Coffee Futures,positiva,Preço da Coffee Futures positivo influencia o preço da ação na mesma direção
COST,Consumer Defensive,Acucar,SB=F,Sugar Futures,positiva,Preço da Sugar Futures positivo influencia o preço da ação na mesma direção
CSCO,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
CSCO,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
CSCO,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
CSX,Industrials,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
CSX,Industrials,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
CSX,Industrials,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
CSX,Industrials,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
GOOG,Communication Services,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
GOOG,Communication Services,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
GOOG,Communication Services,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
GOOG,Communication Services,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
GOOGL,Communication Services,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
GOOGL,Communication Services,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
GOOGL,Communication Services,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
GOOGL,Communication Services,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
HON,Industrials,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
HON,Industrials,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
HON,Industrials,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
HON,Industrials,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
INTC,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
INTC,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
INTC,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
KDP,Consumer Defensive,Soja,ZS=F,Soybean Futures,positiva,Preço da Soybean Futures positivo influencia o preço da ação na mesma direção
KDP,Consumer Defensive,Milho,ZC=F,Corn Futures,positiva,Preço da Corn Futures positivo influencia o preço da ação na mesma direção
KDP,Consumer Defensive,Trigo,ZW=F,Wheat Futures,positiva,Preço da Wheat Futures positivo influencia o preço da ação na mesma direção
KDP,Consumer Defensive,Cafe,KC=F,Coffee Futures,positiva,Preço da Coffee Futures positivo influencia o preço da ação na mesma direção
KDP,Consumer Defensive,Acucar,SB=F,Sugar Futures,positiva,Preço da Sugar Futures positivo influencia o preço da ação na mesma direção
KHC,Consumer Defensive,Soja,ZS=F,Soybean Futures,positiva,Preço da Soybean Futures positivo influencia o preço da ação na mesma direção
KHC,Consumer Defensive,Milho,ZC=F,Corn Futures,positiva,Preço da Corn Futures positivo influencia o preço da ação na mesma direção
KHC,Consumer Defensive,Trigo,ZW=F,Wheat Futures,positiva,Preço da Wheat Futures positivo influencia o preço da ação na mesma direção
KHC,Consumer Defensive,Cafe,KC=F,Coffee Futures,positiva,Preço da Coffee Futures positivo influencia o preço da ação na mesma direção
KHC,Consumer Defensive,Acucar,SB=F,Sugar Futures,positiva,Preço da Sugar Futures positivo influencia o preço da ação na mesma direção
KLAC,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
KLAC,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
KLAC,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
LIN,Basic Materials,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
LRCX,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
LRCX,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
LRCX,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
MELI,Consumer Cyclical,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
MELI,Consumer Cyclical,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
MELI,Consumer Cyclical,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
MELI,Consumer Cyclical,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
META,Communication Services,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
META,Communication Services,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
META,Communication Services,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
META,Communication Services,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
MPWR,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
MPWR,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
MPWR,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
MRVL,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
MRVL,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
MRVL,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
MSFT,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
MSFT,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
MSFT,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
MU,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
MU,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
MU,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
NFLX,Communication Services,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
NFLX,Communication Services,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
NFLX,Communication Services,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
NFLX,Communication Services,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
NVDA,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
NVDA,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
NVDA,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
PCAR,Industrials,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
PCAR,Industrials,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
PCAR,Industrials,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
PCAR,Industrials,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
PEP,Consumer Defensive,Soja,ZS=F,Soybean Futures,positiva,Preço da Soybean Futures positivo influencia o preço da ação na mesma direção
PEP,Consumer Defensive,Milho,ZC=F,Corn Futures,positiva,Preço da Corn Futures positivo influencia o preço da ação na mesma direção
PEP,Consumer Defensive,Trigo,ZW=F,Wheat Futures,positiva,Preço da Wheat Futures positivo influencia o preço da ação na mesma direção
PEP,Consumer Defensive,Cafe,KC=F,Coffee Futures,positiva,Preço da Coffee Futures positivo influencia o preço da ação na mesma direção
PEP,Consumer Defensive,Acucar,SB=F,Sugar Futures,positiva,Preço da Sugar Futures positivo influencia o preço da ação na mesma direção
QCOM,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
QCOM,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
QCOM,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
SNPS,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
SNPS,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
SNPS,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
TEAM,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
TEAM,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
TEAM,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
TMUS,Communication Services,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
TMUS,Communication Services,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
TMUS,Communication Services,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
TMUS,Communication Services,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
TSLA,Consumer Cyclical,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
TSLA,Consumer Cyclical,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
TSLA,Consumer Cyclical,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
TSLA,Consumer Cyclical,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
TXN,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
TXN,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
TXN,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
WDAY,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
WDAY,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
WDAY,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
WMT,Consumer Defensive,Soja,ZS=F,Soybean Futures,positiva,Preço da Soybean Futures positivo influencia o preço da ação na mesma direção
WMT,Consumer Defensive,Milho,ZC=F,Corn Futures,positiva,Preço da Corn Futures positivo influencia o preço da ação na mesma direção
WMT,Consumer Defensive,Trigo,ZW=F,Wheat Futures,positiva,Preço da Wheat Futures positivo influencia o preço da ação na mesma direção
WMT,Consumer Defensive,Cafe,KC=F,Coffee Futures,positiva,Preço da Coffee Futures positivo influencia o preço da ação na mesma direção
WMT,Consumer Defensive,Acucar,SB=F,Sugar Futures,positiva,Preço da Sugar Futures positivo influencia o preço da ação na mesma direção
